iter	Passed	Remaining
466	695	793
467	696	791
468	696	788
469	697	786
470	698	783
471	698	781
472	699	779
473	700	777
474	701	774
475	701	772
476	702	770
477	703	767
478	704	766
479	705	764
480	706	762
481	707	760
482	708	757
483	708	755
484	709	753
485	710	751
486	711	749
487	712	747
488	712	745
489	713	742
490	714	740
491	715	738
492	716	736
493	716	734
494	717	732
495	718	729
496	719	727
497	720	726
498	721	724
499	722	722
500	723	720
501	724	718
502	724	716
503	725	714
504	726	712
505	727	709
506	727	707
507	728	705
508	729	703
509	730	701
510	730	699
511	731	697
512	732	694
513	732	692
514	733	690
515	734	689
516	736	687
517	737	685
518	737	683
519	738	681
520	739	679
521	740	677
522	740	675
523	741	673
524	742	671
525	742	669
526	743	667
527	744	665
528	744	663
529	745	661
530	746	659
531	747	657
532	747	655
533	749	653
534	750	652
535	751	650
536	752	648
537	753	647
538	754	645
539	755	643
540	756	641
541	757	639
542	757	637
543	758	635
544	759	633
545	759	631
546	760	629
547	761	627
548	761	625
549	762	623
550	763	621
551	764	620
552	766	619
553	767	617
554	767	615
555	768	613
556	769	611
557	770	609
558	770	608
559	771	606
560	772	604
561	772	602
562	773	600
563	774	598
564	774	596
565	775	594
566	775	592
567	776	590
568	776	588
569	777	586
570	778	585
571	780	583
572	781	582
573	782	580
574	782	578
575	783	576
576	784	575
577	785	573
578	785	571
579	786	569
580	787	567
581	787	565
582	788	563
583	788	561
584	789	560
585	790	558
586	790	556
587	791	554
588	792	552
589	792	550
590	793	549
591	794	547
592	796	546
593	796	544
594	797	542
595	798	541
596	799	539
597	799	537
598	800	535
599	801	534
600	802	532
601	802	530
602	803	528
603	803	527
604	804	525
605	805	523
606	805	521
607	806	519
608	806	518
609	807	516
610	808	514
611	810	513
612	811	512
613	812	510
614	813	509
615	814	507
616	815	505
617	815	504
618	816	502
619	817	500
620	818	499
621	818	497
622	819	495
623	820	494
624	820	492
625	821	490
626	822	489
627	823	487
628	824	486
629	825	484
630	826	483
631	827	481
632	828	480
633	828	478
634	829	476
635	830	475
636	831	473
637	832	472
638	832	470
639	833	468
640	834	467
641	834	465
642	835	463
643	836	462
644	836	460
645	837	459
646	838	457
647	840	456
648	841	454
649	841	453
650	842	451
651	843	450
652	844	448
653	845	447
654	846	445
655	847	444
656	848	442
657	849	441
658	849	439
659	850	438
660	851	436
661	852	435
662	853	433
663	854	432
664	855	431
665	856	429
666	857	428
667	858	426
668	858	424
669	859	423
670	860	421
671	861	420
672	861	418
673	862	417
674	863	415
675	863	414
676	864	412
677	865	411
678	866	409
679	867	408
680	869	407
681	871	406
682	872	404
683	873	403
684	874	401
685	875	400
686	876	399
687	877	397
688	877	396
689	878	394
690	879	393
691	880	391
692	880	390
693	881	388
694	886	389
695	888	388
696	889	386
697	890	385
698	891	383
699	892	382
700	893	380
701	893	379
702	894	377
703	895	376
704	895	374
705	896	373
706	897	372
707	900	371
708	901	369
709	901	368
710	902	366
711	903	365
712	904	363
713	905	362
714	905	361
715	906	359
716	907	358
717	907	356
718	908	355
719	909	353
720	909	352
721	910	350
722	911	349
723	912	347
724	913	346
725	915	345
726	916	344
727	916	342
728	917	341
729	918	339
730	919	338
731	920	337
732	921	335
733	922	334
734	924	333
735	925	332
736	929	331
737	930	330
738	931	329
739	932	327
740	933	326
741	934	325
742	935	323
743	936	322
744	937	321
745	938	319
746	939	318
747	940	316
748	944	316
749	946	315
750	947	314
751	948	312
752	950	311
753	951	310
754	952	309
755	953	307
756	954	306
757	955	305
758	959	304
759	961	303
760	962	302
761	963	301
762	965	299
763	967	298
764	968	297
765	969	296
766	971	295
767	972	293
768	973	292
769	974	291
770	975	289
771	976	288
772	977	287
773	980	286
774	982	285
775	988	285
776	989	284
777	990	282
778	992	281
779	993	280
780	994	278
781	994	277
782	996	276
783	997	274
784	998	273
785	998	271
786	999	270
787	1000	269
788	1003	268
789	1004	266
790	1005	265
791	1006	264
792	1007	262
793	1007	261
794	1008	260
795	1009	258
796	1010	257
797	1010	255
798	1011	254
799	1012	253
800	1013	251
801	1014	250
802	1015	249
803	1018	248
804	1020	247
805	1021	245
806	1022	244
807	1023	243
808	1024	241
809	1025	240
810	1026	239
811	1027	238
812	1029	236
813	1029	235
814	1030	233
815	1033	233
816	1035	231
817	1036	230
818	1037	229
819	1037	227
820	1038	226
821	1039	225
822	1040	223
823	1041	222
824	1041	220
825	1042	219
826	1043	218
827	1044	216
828	1045	215
829	1046	214
830	1048	213
831	1049	211
832	1050	210
833	1051	209
834	1052	208
835	1053	206
836	1054	205
837	1054	203
838	1055	202
839	1056	201
840	1056	199
841	1057	198
842	1058	197
843	1059	195
844	1059	194
845	1060	193
846	1061	191
847	1062	190
848	1063	189
849	1064	187
850	1065	186
851	1066	185
852	1066	183
853	1067	182
854	1068	181
855	1069	179
856	1069	178
857	1070	177
858	1071	175
859	1071	174
860	1072	173
861	1073	171
862	1073	170
863	1074	169
864	1075	167
865	1076	166
866	1078	165
867	1079	164
868	1079	162
869	1080	161
870	1081	160
871	1082	158
872	1082	157
873	1083	156
874	1084	154
875	1084	153
876	1085	152
877	1086	150
878	1087	149
879	1088	148
880	1088	147
881	1089	145
882	1090	144
883	1092	143
884	1093	142
885	1094	140
886	1095	139
887	1096	138
888	1097	136
889	1097	135
890	1098	134
891	1099	133
892	1100	131
893	1100	130
894	1101	129
895	1102	127
896	1103	126
897	1104	125
898	1105	124
899	1106	122
900	1107	121
901	1108	120
902	1109	119
903	1110	117
904	1111	116
905	1111	115
906	1112	114
907	1113	112
908	1114	111
909	1115	110
910	1115	109
911	1116	107
912	1117	106
913	1117	105
914	1118	103
915	1119	102
916	1119	101
917	1121	100
918	1123	98
919	1123	97
920	1124	96
921	1125	95
922	1126	93
923	1126	92
924	1127	91
925	1128	90
926	1129	88
927	1129	87
928	1130	86
929	1131	85
930	1131	83
931	1132	82
932	1132	81
933	1133	80
934	1133	78
935	1134	77
936	1135	76
937	1136	75
938	1137	73
939	1138	72
940	1139	71
941	1140	70
942	1140	68
943	1141	67
944	1141	66
945	1142	65
946	1143	63
947	1143	62
948	1144	61
949	1144	60
950	1145	59
951	1146	57
952	1146	56
953	1147	55
954	1148	54
955	1148	52
956	1149	51
957	1150	50
958	1151	49
959	1152	48
960	1153	46
961	1154	45
962	1155	44
963	1156	43
964	1156	41
965	1157	40
966	1158	39
967	1158	38
968	1159	37
969	1160	35
970	1160	34
971	1161	33
972	1162	32
973	1162	31
974	1163	29
975	1164	28
976	1166	27
977	1167	26
